Datum;Temperatur;Windgeschwindigkeit;bewoelkung_time;wettercode_knn;temp_category;wettercode_agg
2012-01-01;9.825;14;8;58;high;3
2012-01-02;7.4375;12;7;33;medium;2
2012-01-03;5.5375;18;8;63;medium;3
2012-01-04;5.6875;19;4;80;medium;4
2012-01-05;5.3;23;6;80;medium;4
2012-01-06;2.625;10;3;18;medium;2
2012-01-07;6.528571;14;7;61;medium;3
2012-01-08;5.9625;10;7;80;medium;4
2012-01-09;5.15;12;8;61;medium;3
2012-01-10;6.1125;10;6;45;medium;2
2012-01-11;7.8625;16;6;51;high;3
2012-01-12;7.4375;25;7;61;high;3
2012-01-13;4.8;18;2;14;medium;2
2012-01-14;2.8875;10;3;18;medium;2
2012-01-15;2.225;6;1;4;medium;2
2012-01-16;3.0625;6;8;61;medium;3
2012-01-17;4.4875;10;6;41;medium;2
2012-01-18;2.35;12;7;51;medium;3
2012-01-19;5.2625;16;8;80;high;4
2012-01-20;3.4375;12;6;26;high;2
2012-01-21;3.5375;16;7;68;medium;2
2012-01-22;3.7875;12;6;21;high;2
2012-01-23;2.2125;4;5;10;medium;2
2012-01-24;1.7625;6;3;37;medium;2
2012-01-25;-0.1875;8;3;15;medium;2
2012-01-26;0.3625;12;2;16;medium;2
2012-01-27;-1.0;10;8;71;low;5
2012-01-28;-1.3875;10;6;10;low;2
2012-01-29;-3.1625;8;7;71;low;5
2012-01-30;-2.275;12;3;19;medium;2
2012-01-31;-2.375;18;1;17;medium;2
2012-02-01;-1.825;16;7;71;low;5
2012-02-02;-5.85;8;6;85;low;5
2012-02-03;-5.85;14;4;3;low;1
2012-02-04;-7.5375;10;4;71;low;5
2012-02-05;-7.7125;8;5;64;low;2
2012-02-06;-10.25;6;4;10;low;2
2012-02-07;-3.0;18;6;71;low;5
2012-02-08;-2.7625;10;6;34;low;2
2012-02-09;-1.6625;21;6;3;low;1
2012-02-10;-2.8125;8;6;71;low;5
2012-02-11;-4.575;8;7;78;low;2
2012-02-12;-1.2375;16;8;72;low;2
2012-02-13;-2.325;8;6;10;low;2
2012-02-14;1.3;10;8;47;medium;2
2012-02-15;4.8625;18;1;10;medium;2
2012-02-16;2.9625;10;7;61;medium;3
2012-02-17;5.5625;14;5;58;medium;3
2012-02-18;6.175;14;8;61;medium;3
2012-02-19;4.2;18;4;25;medium;2
2012-02-20;4.1125;14;5;53;medium;3
2012-02-21;4.95;14;8;58;medium;3
2012-02-22;7.175;18;7;51;medium;3
2012-02-23;8.4125;18;6;33;high;2
2012-02-24;8.35;19;7;20;medium;2
2012-02-25;6.525;19;6;61;medium;3
2012-02-26;4.675;8;1;8;medium;2
2012-02-27;3.725;12;8;61;medium;3
2012-02-28;7.675;14;8;51;medium;3
2012-02-29;7.775;10;8;47;medium;2
2012-03-01;7.625;12;6;43;medium;2
2012-03-02;5.9125;6;7;28;medium;2
2012-03-03;7.0375;14;5;57;medium;3
2012-03-04;4.675;8;7;53;medium;3
2012-03-05;4.875;10;7;45;medium;2
2012-03-06;4.5125;10;4;31;medium;2
2012-03-07;4.05;10;7;61;medium;3
2012-03-08;7.5125;14;2;6;medium;2
2012-03-09;7.825;14;8;10;medium;2
2012-03-10;8.7;19;6;10;medium;2
2012-03-11;8.95;14;6;51;medium;3
2012-03-12;9.0125;18;5;37;medium;2
2012-03-13;9.95;16;6;1;medium;1
2012-03-14;7.7875;10;7;45;medium;2
2012-03-15;7.4;8;6;33;medium;2
2012-03-16;12.0375;14;3;10;high;2
2012-03-17;9.775;14;6;10;medium;2
2012-03-18;9.8375;16;7;61;medium;3
2012-03-19;8.1125;18;4;26;medium;2
2012-03-20;8.0875;18;7;51;medium;3
2012-03-21;12.625;16;5;23;high;2
2012-03-22;12.7625;6;0;2;high;1
2012-03-23;13.4875;6;0;2;high;1
2012-03-24;7.8375;8;5;10;medium;2
2012-03-25;13.1375;10;0;1;high;1
2012-03-26;8.4875;8;7;51;medium;3
2012-03-27;15.5;10;4;24;high;2
2012-03-28;14.8375;18;3;5;high;2
2012-03-29;8.9875;19;6;21;medium;2
2012-03-30;9.9625;18;3;1;medium;1
2012-03-31;6.1125;19;4;61;medium;3
2012-04-01;6.525;19;7;25;medium;2
2012-04-02;5.5875;16;7;62;low;2
2012-04-03;3.3;10;7;22;low;2
2012-04-04;4.5875;18;7;21;low;2
2012-04-05;5.6375;10;1;5;low;2
2012-04-06;6.2;18;7;61;low;3
2012-04-07;3.7125;19;4;49;low;2
2012-04-08;5.75;10;2;28;low;2
2012-04-09;6.5125;10;8;58;low;3
2012-04-10;10.5875;10;8;61;medium;3
2012-04-11;10.475;12;7;53;medium;3
2012-04-12;9.575;12;6;81;medium;4
2012-04-13;8.725;10;7;50;medium;3
2012-04-14;8.8125;8;6;25;medium;2
2012-04-15;8.075;10;7;21;medium;2
2012-04-16;7.5;16;4;80;medium;4
2012-04-17;8.0375;12;5;30;medium;2
2012-04-18;9.6125;10;6;67;medium;4
2012-04-19;14.2375;14;2;11;medium;2
2012-04-20;9.225;10;6;95;medium;4
2012-04-21;12.2;10;6;91;medium;2
2012-04-22;9.9875;10;6;80;medium;4
2012-04-23;9.95;10;6;81;medium;4
2012-04-24;10.0;8;7;61;medium;3
2012-04-25;11.6375;12;6;65;medium;4
2012-04-26;14.1875;14;6;60;medium;2
2012-04-27;14.925;12;5;25;medium;2
2012-04-28;9.5125;18;6;61;medium;3
2012-04-29;11.4625;23;7;46;medium;2
2012-04-30;16.2375;8;3;26;medium;2
2012-05-01;13.4125;19;5;49;high;2
2012-05-02;13.45;12;1;16;medium;2
2012-05-03;16.6;8;6;45;high;2
2012-05-04;12.65;10;7;80;medium;4
2012-05-05;10.5;8;2;2;medium;1
2012-05-06;8.6;8;5;13;low;2
2012-05-07;7.575;6;7;61;low;3
2012-05-08;16.075;8;6;45;medium;2
2012-05-09;16.85;10;6;81;medium;4
2012-05-10;17.85;12;7;61;medium;3
2012-05-11;16.525;19;5;45;medium;2
2012-05-12;9.3875;23;5;80;low;4
2012-05-13;11.0125;10;6;38;medium;2
2012-05-14;14.525;12;6;54;medium;2
2012-05-15;11.45;10;7;60;medium;2
2012-05-16;8.8875;19;6;80;low;4
2012-05-17;10.8125;18;4;3;medium;1
2012-05-18;16.2125;10;6;49;medium;2
2012-05-19;17.7625;6;5;27;medium;2
2012-05-20;18.475;10;6;25;medium;2
2012-05-21;18.514285;14;5;29;medium;2
2012-05-22;19.2;12;4;44;medium;2
2012-05-23;18.2375;14;4;61;medium;3
2012-05-24;18.8625;12;0;3;medium;1
2012-05-25;19.85;10;0;2;medium;1
2012-05-26;21.45;8;4;30;high;2
2012-05-27;19.875;10;1;2;medium;1
2012-05-28;22.8375;14;2;13;high;2
2012-05-29;15.35;12;4;28;medium;2
2012-05-30;12.9375;14;6;44;low;2
2012-05-31;13.2625;10;7;61;low;3
2012-06-01;12.8875;19;4;25;low;2
2012-06-02;12.4625;16;4;25;low;2
2012-06-03;12.35;12;7;52;low;2
2012-06-04;13.2125;14;7;62;low;2
2012-06-05;13.2125;16;5;25;low;2
2012-06-06;13.8375;10;7;61;low;3
2012-06-07;15.1875;10;7;51;medium;3
2012-06-08;19.3375;12;4;95;medium;4
2012-06-09;14.6;14;6;61;low;3
2012-06-10;15.0;16;6;51;low;3
2012-06-11;16.525;8;3;14;medium;2
2012-06-12;14.1125;6;7;63;low;3
2012-06-13;15.1625;12;4;39;medium;2
2012-06-14;14.05;12;6;54;low;2
2012-06-15;18.3125;8;7;63;medium;3
2012-06-16;18.4625;10;6;25;medium;2
2012-06-17;16.9625;14;6;25;medium;2
2012-06-18;19.5875;19;6;95;medium;4
2012-06-19;17.3125;6;6;34;medium;2
2012-06-20;17.65;12;6;37;medium;2
2012-06-21;18.5125;16;4;39;medium;2
2012-06-22;18.325;14;4;29;medium;2
2012-06-23;16.8875;12;6;80;medium;4
2012-06-24;12.875;12;8;63;medium;3
2012-06-25;13.8875;18;6;80;medium;4
2012-06-26;14.3;18;6;20;low;2
2012-06-27;14.5625;10;8;46;low;2
2012-06-28;18.2625;8;6;72;medium;2
2012-06-29;22.75;8;6;95;medium;4
2012-06-30;23.1375;10;5;69;medium;2
2012-07-01;19.5125;14;4;31;medium;2
2012-07-02;19.4375;10;6;53;medium;3
2012-07-03;20.5375;12;3;28;medium;2
2012-07-04;19.95;12;5;45;medium;2
2012-07-05;17.2625;12;7;10;medium;2
2012-07-06;18.5375;10;7;60;medium;2
2012-07-07;20.7875;4;7;51;medium;3
2012-07-08;22.975;10;5;95;high;4
2012-07-09;16.5;16;7;61;medium;3
2012-07-10;18.825;14;6;1;medium;1
2012-07-11;17.15;14;6;29;low;2
2012-07-12;15.4875;14;5;81;low;4
2012-07-13;17.0875;6;6;21;medium;2
2012-07-14;17.9125;19;6;25;medium;2
2012-07-15;16.375;16;5;25;medium;2
2012-07-16;16.875;16;5;80;low;4
2012-07-17;17.1375;18;5;80;medium;4
2012-07-18;16.95;6;7;63;low;3
2012-07-19;15.8125;16;7;81;low;4
2012-07-20;15.25;16;6;80;low;4
2012-07-21;16.1625;16;6;50;low;3
2012-07-22;18.325;12;4;37;low;2
2012-07-23;22.483333;12;2;9;medium;2
2012-07-25;25.65;8;1;4;medium;2
2012-07-26;22.5875;8;1;5;medium;2
2012-07-27;26.075;10;1;0;medium;1
2012-07-28;18.95;14;7;63;medium;3
2012-07-29;16.0375;8;7;61;low;3
2012-07-30;15.1875;10;6;95;low;4
2012-07-31;17.1625;12;5;52;medium;2
2012-08-01;21.0625;6;6;41;medium;2
2012-08-02;22.725;10;6;29;medium;2
2012-08-03;20.6875;10;4;91;medium;2
2012-08-04;18.225;6;6;61;low;3
2012-08-05;21.6125;4;6;53;medium;3
2012-08-06;19.575;16;5;80;medium;4
2012-08-07;17.3125;14;6;80;medium;4
2012-08-08;17.9;16;4;80;medium;4
2012-08-09;18.35;12;5;45;medium;2
2012-08-10;17.3;14;6;25;medium;2
2012-08-11;18.85;10;2;10;medium;2
2012-08-12;19.7875;12;1;2;high;1
2012-08-13;20.0375;14;2;10;medium;2
2012-08-14;20.1625;12;2;10;medium;2
2012-08-15;20.4;14;1;3;medium;1
2012-08-16;17.325;10;6;63;low;3
2012-08-17;21.9375;8;5;43;high;2
2012-08-18;27.525;8;6;59;high;2
2012-08-19;26.875;8;2;3;high;1
2012-08-20;26.15;16;3;27;high;2
2012-08-21;20.8125;6;6;41;medium;2
2012-08-22;20.0125;18;4;37;medium;2
2012-08-23;19.8375;18;5;80;medium;4
2012-08-24;16.2625;4;7;61;medium;3
2012-08-25;18.8625;8;6;80;medium;4
2012-08-26;17.325;14;6;95;medium;4
2012-08-27;17.8625;12;2;6;medium;2
2012-08-28;19.5875;8;7;61;medium;3
2012-08-29;20.6625;8;4;3;medium;1
2012-08-30;19.2375;6;7;43;medium;2
2012-08-31;17.2875;14;3;36;medium;2
2012-09-01;16.6;12;6;55;medium;3
2012-09-02;19.15;14;6;29;medium;2
2012-09-03;19.475;12;4;44;medium;2
2012-09-04;20.5375;14;4;51;medium;3
2012-09-05;17.1375;14;6;80;medium;4
2012-09-06;16.1125;14;7;61;low;3
2012-09-07;16.125;12;7;58;low;3
2012-09-08;18.4625;16;5;51;medium;3
2012-09-09;21.075;6;4;50;high;3
2012-09-10;23.125;12;4;34;high;2
2012-09-11;17.0875;12;7;61;medium;3
2012-09-12;13.9625;12;4;80;medium;4
2012-09-13;15.1;8;3;23;medium;2
2012-09-14;13.7125;16;8;61;medium;3
2012-09-15;15.625;18;6;80;medium;4
2012-09-16;18.35;12;3;17;medium;2
2012-09-17;17.4375;14;4;25;medium;2
2012-09-18;15.0375;14;6;80;medium;4
2012-09-19;10.6375;16;5;81;low;4
2012-09-20;11.4875;12;6;80;low;4
2012-09-21;14.25;14;7;21;medium;2
2012-09-22;11.5;14;5;25;low;2
2012-09-23;13.65;10;4;48;medium;2
2012-09-24;10.4125;16;8;61;low;3
2012-09-25;14.925;10;7;80;medium;4
2012-09-26;12.5625;6;7;61;low;3
2012-09-27;13.2;10;7;61;low;3
2012-09-28;13.5625;12;6;40;medium;2
2012-09-29;13.2625;16;5;25;low;2
2012-09-30;13.875;14;4;25;medium;2
2012-10-01;13.8625;10;7;54;medium;2
2012-10-02;15.1625;10;6;10;medium;2
2012-10-03;14.175;12;7;65;medium;4
2012-10-04;10.45;10;7;80;low;4
2012-10-05;9.7375;14;7;61;low;3
2012-10-08;12.4375;12;4;80;medium;4
2012-10-09;10.9875;19;1;80;medium;4
2012-10-10;10.1;12;5;80;medium;4
2012-10-11;11.4375;6;4;25;medium;2
2012-10-12;10.1375;10;6;61;medium;3
2012-10-15;9.5875;10;6;51;medium;3
2012-10-16;10.8875;12;7;61;medium;3
2012-10-17;12.1;12;7;21;medium;2
2012-10-18;16.775;8;6;42;high;2
2012-10-19;19.35;6;3;10;high;2
2012-10-22;12.675;8;8;10;medium;2
2012-10-23;11.8875;8;8;51;medium;3
2012-10-24;10.9875;6;8;51;medium;3
2012-10-25;8.7375;16;6;80;low;4
2012-10-26;5.1875;8;5;38;low;2
2012-10-29;3.625;14;8;61;low;3
2012-10-30;7.0625;8;4;25;low;2
2012-10-31;7.95;10;6;10;low;2
2012-11-01;5.8125;10;7;49;low;2
2012-11-02;7.475;12;7;21;medium;2
2012-11-05;6.5875;10;7;61;medium;3
2012-11-06;7.45;14;6;80;medium;4
2012-11-07;10.3;16;7;51;medium;3
2012-11-08;9.6625;16;7;80;medium;4
2012-11-09;9.5;8;7;20;medium;2
2012-11-12;7.3125;12;6;80;medium;4
2012-11-13;7.2;8;7;10;medium;2
2012-11-14;9.6625;6;8;10;medium;2
2012-11-15;8.7125;6;7;5;medium;2
2012-11-16;-0.275;6;7;10;low;2
2012-11-19;6.125;8;3;3;medium;1
2012-11-20;7.675;8;6;10;high;2
2012-11-21;6.1875;12;8;10;medium;2
2012-11-22;9.1;14;4;3;medium;1
2012-11-23;6.7;10;7;61;medium;3
2012-11-26;8.1625;10;6;39;high;2
2012-11-27;7.625;8;7;20;high;2
2012-11-28;5.325;8;8;51;medium;3
2012-11-29;3.4625;14;7;61;medium;3
2012-11-30;0.725;10;2;17;low;2
2012-12-03;1.033333;8;8;10;medium;2
2012-12-04;1.375;8;7;69;low;2
2012-12-05;-4.7875;10;2;21;low;2
2012-12-06;-4.45;8;1;16;low;2
2012-12-07;-1.7875;8;4;10;low;2
2012-12-10;0.1875;18;8;71;low;5
2012-12-11;-1.8625;14;6;47;low;2
2012-12-12;-5.7375;4;3;10;low;2
2012-12-13;-2.0625;4;7;78;low;2
2012-12-14;-2.6875;10;7;10;low;2
2012-12-17;4.1875;4;8;47;medium;2
2012-12-18;3.6375;10;8;61;medium;3
2012-12-19;2.8625;6;7;20;low;2
2012-12-20;2.0875;12;7;5;medium;2
2012-12-21;-0.2125;10;7;13;low;2
2013-04-30;11.116666;15;3;0;medium;1
2013-05-01;9.9;11;0;3;medium;1
2013-05-02;11.0375;12;1;4;medium;2
2013-05-03;12.9125;9;0;5;medium;2
2013-05-04;17.95;18;0;3;high;1
2013-05-05;16.2125;10;3;13;medium;2
2013-05-06;15.675;8;0;1;medium;1
2013-05-07;17.4125;10;1;21;medium;2
2013-05-08;18.8125;9;4;21;medium;2
2013-05-09;16.125;11;7;21;medium;2
2013-05-10;15.5;12;5;21;medium;2
2013-05-11;15.4125;11;7;54;medium;2
2013-05-12;11.7125;12;7;61;medium;3
2013-05-13;11.4375;10;7;65;medium;4
2013-05-14;12.6;10;5;21;medium;2
2013-05-15;20.5375;10;4;61;high;3
2013-05-16;16.1625;13;0;5;medium;2
2013-05-17;21.3125;11;0;5;high;2
2013-05-18;13.85;12;7;10;medium;2
2013-05-19;13.05;5;8;20;medium;2
2013-05-20;15.775;8;7;21;medium;2
2013-05-21;12.525;9;7;65;low;4
2013-05-22;9.0625;23;7;63;low;3
2013-05-23;10.525;8;5;61;low;3
2013-05-24;12.5;8;5;61;low;3
2013-05-25;11.3375;11;7;63;low;3
2013-05-26;14.1625;15;7;63;medium;3
2013-05-27;14.7875;10;6;39;medium;2
2013-05-28;15.4;10;6;20;medium;2
2013-05-29;13.6625;14;7;61;medium;3
2013-05-30;16.125;11;4;21;medium;2
2013-05-31;17.65;12;3;19;medium;2
2013-06-01;20.3875;10;3;21;medium;2
2013-06-02;14.975;18;2;6;medium;2
2013-06-03;17.35;13;0;3;medium;1
2013-06-04;17.1625;15;3;37;medium;2
2013-06-05;19.0875;9;4;37;medium;2
2013-06-06;20.85;12;0;3;medium;1
2013-06-07;19.7;8;0;4;medium;2
2013-06-08;16.9625;9;1;5;medium;2
2013-06-09;15.8875;7;4;19;medium;2
2013-06-10;17.725;8;2;0;medium;1
2013-06-11;16.6625;9;2;6;medium;2
2013-06-12;22.35;7;5;52;high;2
2013-06-14;16.7125;16;2;0;medium;1
2013-06-15;17.0875;27;6;61;medium;3
2013-06-16;15.5875;16;7;21;medium;2
2013-06-17;17.9;8;0;2;medium;1
2013-06-18;20.05;10;1;0;medium;1
2013-06-19;23.5375;10;6;63;medium;3
2013-06-20;21.8375;10;2;6;medium;2
2013-06-21;19.575;14;7;63;medium;3
2013-06-22;19.7375;10;6;67;medium;4
2013-06-23;17.5375;10;6;21;medium;2
2013-06-24;15.95;12;7;63;medium;3
2013-06-25;15.175;10;7;21;medium;2
2013-06-26;13.825;18;7;61;low;3
2013-06-27;12.55;10;7;61;low;3
2013-06-28;13.05;10;7;61;low;3
2013-06-29;14.8375;16;6;61;low;3
2013-06-30;14.0125;15;7;63;low;3
2013-07-01;17.8375;15;6;20;medium;2
2013-07-02;17.3125;10;3;18;medium;2
2013-07-03;21.075;6;7;61;medium;3
2013-07-04;18.85;7;7;20;medium;2
2013-07-05;19.975;12;5;37;medium;2
2013-07-06;18.9625;8;0;3;medium;1
2013-07-07;21.375;9;0;3;medium;1
2013-07-08;22.725;10;0;5;medium;2
2013-07-09;23.275;8;0;2;high;1
2013-07-10;19.6875;13;2;5;medium;2
2013-07-11;21.375;12;0;5;medium;2
2013-07-12;20.2875;7;0;2;medium;1
2013-07-13;20.125;12;1;2;medium;1
2013-07-14;17.6875;15;5;5;medium;2
2013-07-15;18.7375;12;6;37;medium;2
2013-07-16;21.1875;10;1;2;medium;1
2013-07-17;22.5125;8;5;62;medium;2
2013-07-18;23.25;11;1;5;medium;2
2013-07-19;22.475;16;3;5;medium;2
2013-07-20;23.1875;8;0;1;medium;1
2013-07-21;26.375;8;0;1;high;1
2013-07-22;26.1;9;0;1;medium;1
2013-07-23;24.95;12;0;3;medium;1
2013-07-24;24.075;11;3;21;medium;2
2013-07-25;23.0875;9;2;14;medium;2
2013-07-26;27.2625;6;3;46;medium;2
2013-07-27;26.1625;10;1;0;medium;1
2013-07-28;24.8875;13;4;61;medium;3
2013-07-29;22.7875;10;1;7;medium;2
2013-07-30;21.075;13;5;21;medium;2
2013-07-31;20.275;16;5;65;medium;4
2013-08-01;23.4;7;6;21;medium;2
2013-08-02;31.4375;7;0;14;high;2
2013-08-03;23.3625;11;4;63;medium;3
2013-08-04;23.05;8;3;22;medium;2
2013-08-05;25.8;10;0;1;high;1
2013-08-06;22.225;13;5;21;medium;2
2013-08-07;19.2125;8;4;17;medium;2
2013-08-08;16.975;12;7;20;low;2
2013-08-09;20.3375;10;4;21;medium;2
2013-08-10;19.3625;12;7;61;medium;3
2013-08-11;16.3875;9;7;61;medium;3
2013-08-12;16.45;11;7;63;medium;3
2013-08-13;16.4;16;3;95;low;4
2013-08-14;18.2625;18;4;61;medium;3
2013-08-15;19.8;8;3;15;medium;2
2013-08-16;23.575;11;4;0;medium;1
2013-08-17;20.55;7;6;0;medium;1
2013-08-18;18.5875;10;7;63;medium;3
2013-08-19;18.4875;8;5;51;medium;3
2013-08-20;17.775;8;7;61;medium;3
2013-08-21;20.125;8;5;33;medium;2
2013-08-22;21.6625;8;4;30;medium;2
2013-08-23;22.0375;14;1;15;medium;2
2013-08-24;20.85;16;0;5;medium;2
2013-08-25;21.3875;16;0;5;medium;2
2013-08-26;20.125;15;0;5;medium;2
2013-08-27;21.0875;12;1;4;high;2
2013-08-28;21.3;7;0;2;medium;1
2013-08-29;20.2125;11;3;28;medium;2
2013-08-30;19.7875;8;6;5;medium;2
2013-08-31;18.35;16;5;21;medium;2
2013-09-01;15.8625;16;7;61;low;3
2013-09-02;16.575;17;7;63;low;3
2013-09-03;18.225;11;7;21;medium;2
2013-09-04;18.125;5;7;52;medium;2
2013-09-05;21.7;8;0;2;medium;1
2013-09-06;24.7;9;0;1;high;1
2013-09-07;22.7625;7;6;44;high;2
2013-09-08;20.1625;8;7;61;medium;3
2013-09-09;11.575;11;8;63;low;3
2013-09-10;13.5875;11;6;65;low;4
2013-09-11;13.9;8;6;61;low;3
2013-09-12;16.1125;6;6;61;medium;3
2013-09-13;17.4375;5;6;21;medium;2
2013-09-14;17.625;10;5;63;medium;3
2013-09-15;14.8625;10;7;21;medium;2
2013-09-16;13.1375;13;3;21;medium;2
2013-09-17;13.1375;10;5;63;low;3
2013-09-18;13.05;9;4;44;low;2
2013-09-19;14.8375;11;5;63;medium;3
2013-09-20;13.525;6;7;38;medium;2
2013-09-21;15.35;9;7;39;medium;2
2013-09-22;17.1375;14;6;21;medium;2
2013-09-23;17.3125;14;7;21;medium;2
2013-09-24;15.7375;10;8;54;medium;2
2013-09-25;13.5375;7;6;61;medium;3
2013-09-26;12.9875;12;1;4;low;2
2013-09-27;13.0125;8;5;21;low;2
2013-09-28;13.1;8;0;8;medium;2
2013-09-29;14.175;12;3;24;medium;2
2013-09-30;12.825;14;1;7;low;2
2013-10-01;12.9125;13;0;5;medium;2
2013-10-02;12.7;10;1;5;medium;2
2013-10-03;11.7625;12;0;5;low;2
2013-10-04;11.2;8;5;63;medium;3
2013-10-05;15.575;8;7;20;medium;2
2013-10-06;15.25;6;7;53;medium;3
2013-10-07;16.275;7;1;2;high;1
2013-10-08;15.1125;8;6;61;high;3
2013-10-09;14.3125;10;7;21;medium;2
2013-10-10;10.975;6;5;31;medium;2
2013-10-11;13.8625;20;7;10;medium;2
2013-10-12;13.025;21;8;63;medium;3
2013-10-13;10.8625;5;5;21;medium;2
2013-10-14;12.525;6;2;4;medium;2
2013-10-15;10.6625;4;7;63;medium;3
2013-10-16;12.275;7;8;59;medium;2
2013-10-17;12.0;15;7;65;medium;4
2013-10-18;9.075;9;1;8;low;2
2013-10-19;9.45;9;7;46;medium;2
2013-10-20;15.1875;8;7;21;medium;2
2013-10-21;14.2625;8;7;61;high;3
2013-10-22;17.6375;7;2;2;high;1
