Datum;Bewoelkung;Temperatur;Windgeschwindigkeit;Wettercode;bewoelkung_time;wettercode_knn
2012-01-01;8.0;9.825;14;58.0;8;58
2012-01-02;7.0;7.4375;12;;7;33
2012-01-03;8.0;5.5375;18;63.0;8;63
2012-01-04;4.0;5.6875;19;80.0;4;80
2012-01-05;6.0;5.3;23;80.0;6;80
2012-01-06;3.0;2.625;10;;3;18
2012-01-07;7.0;6.528571;14;61.0;7;61
2012-01-08;7.0;5.9625;10;80.0;7;80
2012-01-09;8.0;5.15;12;61.0;8;61
2012-01-10;6.0;6.1125;10;;6;45
2012-01-11;6.0;7.8625;16;51.0;6;51
2012-01-12;7.0;7.4375;25;61.0;7;61
2012-01-13;2.0;4.8;18;;2;14
2012-01-14;3.0;2.8875;10;;3;18
2012-01-15;1.0;2.225;6;;1;4
2012-01-16;8.0;3.0625;6;61.0;8;61
2012-01-17;6.0;4.4875;10;;6;41
2012-01-18;7.0;2.35;12;51.0;7;51
2012-01-19;8.0;5.2625;16;80.0;8;80
2012-01-20;6.0;3.4375;12;26.0;6;26
2012-01-21;7.0;3.5375;16;68.0;7;68
2012-01-22;6.0;3.7875;12;21.0;6;21
2012-01-23;5.0;2.2125;4;10.0;5;10
2012-01-24;3.0;1.7625;6;;3;37
2012-01-25;3.0;-0.1875;8;;3;15
2012-01-26;2.0;0.3625;12;;2;16
2012-01-27;8.0;-1.0;10;71.0;8;71
2012-01-28;6.0;-1.3875;10;10.0;6;10
2012-01-29;7.0;-3.1625;8;71.0;7;71
2012-01-30;3.0;-2.275;12;;3;19
2012-01-31;1.0;-2.375;18;;1;17
2012-02-01;7.0;-1.825;16;71.0;7;71
2012-02-02;6.0;-5.85;8;85.0;6;85
2012-02-03;4.0;-5.85;14;3.0;4;3
2012-02-04;4.0;-7.5375;10;71.0;4;71
2012-02-05;5.0;-7.7125;8;;5;64
2012-02-06;4.0;-10.25;6;10.0;4;10
2012-02-07;6.0;-3.0;18;71.0;6;71
2012-02-08;6.0;-2.7625;10;;6;34
2012-02-09;6.0;-1.6625;21;3.0;6;3
2012-02-10;6.0;-2.8125;8;71.0;6;71
2012-02-11;7.0;-4.575;8;78.0;7;78
2012-02-12;8.0;-1.2375;16;72.0;8;72
2012-02-13;6.0;-2.325;8;10.0;6;10
2012-02-14;8.0;1.3;10;47.0;8;47
2012-02-15;1.0;4.8625;18;;1;10
2012-02-16;7.0;2.9625;10;61.0;7;61
2012-02-17;5.0;5.5625;14;;5;58
2012-02-18;8.0;6.175;14;61.0;8;61
2012-02-19;4.0;4.2;18;25.0;4;25
2012-02-20;5.0;4.1125;14;;5;53
2012-02-21;8.0;4.95;14;58.0;8;58
2012-02-22;7.0;7.175;18;51.0;7;51
2012-02-23;6.0;8.4125;18;;6;33
2012-02-24;7.0;8.35;19;20.0;7;20
2012-02-25;6.0;6.525;19;61.0;6;61
2012-02-26;1.0;4.675;8;;1;8
2012-02-27;8.0;3.725;12;61.0;8;61
2012-02-28;8.0;7.675;14;51.0;8;51
2012-02-29;8.0;7.775;10;47.0;8;47
2012-03-01;6.0;7.625;12;43.0;6;43
2012-03-02;7.0;5.9125;6;28.0;7;28
2012-03-03;5.0;7.0375;14;;5;57
2012-03-04;7.0;4.675;8;;7;53
2012-03-05;7.0;4.875;10;;7;45
2012-03-06;4.0;4.5125;10;;4;31
2012-03-07;7.0;4.05;10;61.0;7;61
2012-03-08;2.0;7.5125;14;;2;6
2012-03-09;8.0;7.825;14;10.0;8;10
2012-03-10;6.0;8.7;19;10.0;6;10
2012-03-11;6.0;8.95;14;;6;51
2012-03-12;5.0;9.0125;18;;5;37
2012-03-13;6.0;9.95;16;1.0;6;1
2012-03-14;7.0;7.7875;10;;7;45
2012-03-15;6.0;7.4;8;;6;33
2012-03-16;3.0;12.0375;14;10.0;3;10
2012-03-17;6.0;9.775;14;10.0;6;10
2012-03-18;7.0;9.8375;16;61.0;7;61
2012-03-19;4.0;8.1125;18;;4;26
2012-03-20;7.0;8.0875;18;51.0;7;51
2012-03-21;5.0;12.625;16;;5;23
2012-03-22;0.0;12.7625;6;2.0;0;2
2012-03-23;0.0;13.4875;6;;0;2
2012-03-24;5.0;7.8375;8;10.0;5;10
2012-03-25;0.0;13.1375;10;1.0;0;1
2012-03-26;7.0;8.4875;8;51.0;7;51
2012-03-27;4.0;15.5;10;;4;24
2012-03-28;3.0;14.8375;18;5.0;3;5
2012-03-29;6.0;8.9875;19;21.0;6;21
2012-03-30;3.0;9.9625;18;1.0;3;1
2012-03-31;4.0;6.1125;19;61.0;4;61
2012-04-01;7.0;6.525;19;25.0;7;25
2012-04-02;7.0;5.5875;16;;7;62
2012-04-03;7.0;3.3;10;22.0;7;22
2012-04-04;7.0;4.5875;18;21.0;7;21
2012-04-05;1.0;5.6375;10;;1;5
2012-04-06;7.0;6.2;18;61.0;7;61
2012-04-07;4.0;3.7125;19;;4;49
2012-04-08;2.0;5.75;10;;2;28
2012-04-09;8.0;6.5125;10;58.0;8;58
2012-04-10;8.0;10.5875;10;61.0;8;61
2012-04-11;7.0;10.475;12;;7;53
2012-04-12;6.0;9.575;12;81.0;6;81
2012-04-13;7.0;8.725;10;;7;50
2012-04-14;6.0;8.8125;8;25.0;6;25
2012-04-15;7.0;8.075;10;21.0;7;21
2012-04-16;4.0;7.5;16;80.0;4;80
2012-04-17;5.0;8.0375;12;;5;30
2012-04-18;6.0;9.6125;10;;6;67
2012-04-19;2.0;14.2375;14;;2;11
2012-04-20;6.0;9.225;10;95.0;6;95
2012-04-21;6.0;12.2;10;91.0;6;91
2012-04-22;6.0;9.9875;10;80.0;6;80
2012-04-23;6.0;9.95;10;81.0;6;81
2012-04-24;7.0;10.0;8;61.0;7;61
2012-04-25;6.0;11.6375;12;;6;65
2012-04-26;6.0;14.1875;14;60.0;6;60
2012-04-27;5.0;14.925;12;25.0;5;25
2012-04-28;6.0;9.5125;18;61.0;6;61
2012-04-29;7.0;11.4625;23;;7;46
2012-04-30;3.0;16.2375;8;;3;26
2012-05-01;5.0;13.4125;19;;5;49
2012-05-02;1.0;13.45;12;;1;16
2012-05-03;6.0;16.6;8;;6;45
2012-05-04;7.0;12.65;10;80.0;7;80
2012-05-05;2.0;10.5;8;;2;2
2012-05-06;5.0;8.6;8;;5;13
2012-05-07;7.0;7.575;6;61.0;7;61
2012-05-08;6.0;16.075;8;;6;45
2012-05-09;6.0;16.85;10;81.0;6;81
2012-05-10;7.0;17.85;12;61.0;7;61
2012-05-11;5.0;16.525;19;;5;45
2012-05-12;5.0;9.3875;23;80.0;5;80
2012-05-13;6.0;11.0125;10;;6;38
2012-05-14;6.0;14.525;12;;6;54
2012-05-15;7.0;11.45;10;;7;60
2012-05-16;6.0;8.8875;19;80.0;6;80
2012-05-17;4.0;10.8125;18;3.0;4;3
2012-05-18;6.0;16.2125;10;;6;49
2012-05-19;5.0;17.7625;6;;5;27
2012-05-20;6.0;18.475;10;;6;25
2012-05-21;5.0;18.514285;14;;5;29
2012-05-22;4.0;19.2;12;;4;44
2012-05-23;4.0;18.2375;14;;4;61
2012-05-24;0.0;18.8625;12;;0;3
2012-05-25;0.0;19.85;10;;0;2
2012-05-26;4.0;21.45;8;;4;30
2012-05-27;1.0;19.875;10;;1;2
2012-05-28;2.0;22.8375;14;;2;13
2012-05-29;4.0;15.35;12;;4;28
2012-05-30;6.0;12.9375;14;;6;44
2012-05-31;7.0;13.2625;10;61.0;7;61
2012-06-01;4.0;12.8875;19;25.0;4;25
2012-06-02;4.0;12.4625;16;25.0;4;25
2012-06-03;7.0;12.35;12;;7;52
2012-06-04;7.0;13.2125;14;;7;62
2012-06-05;5.0;13.2125;16;25.0;5;25
2012-06-06;7.0;13.8375;10;61.0;7;61
2012-06-07;7.0;15.1875;10;51.0;7;51
2012-06-08;4.0;19.3375;12;95.0;4;95
2012-06-09;6.0;14.6;14;61.0;6;61
2012-06-10;6.0;15.0;16;51.0;6;51
2012-06-11;3.0;16.525;8;;3;14
2012-06-12;7.0;14.1125;6;63.0;7;63
2012-06-13;4.0;15.1625;12;;4;39
2012-06-14;6.0;14.05;12;;6;54
2012-06-15;7.0;18.3125;8;63.0;7;63
2012-06-16;6.0;18.4625;10;25.0;6;25
2012-06-17;6.0;16.9625;14;25.0;6;25
2012-06-18;6.0;19.5875;19;95.0;6;95
2012-06-19;6.0;17.3125;6;;6;34
2012-06-20;6.0;17.65;12;;6;37
2012-06-21;4.0;18.5125;16;;4;39
2012-06-22;4.0;18.325;14;29.0;4;29
2012-06-23;6.0;16.8875;12;80.0;6;80
2012-06-24;8.0;12.875;12;63.0;8;63
2012-06-25;6.0;13.8875;18;80.0;6;80
2012-06-26;6.0;14.3;18;20.0;6;20
2012-06-27;8.0;14.5625;10;;8;46
2012-06-28;6.0;18.2625;8;;6;72
2012-06-29;6.0;22.75;8;95.0;6;95
2012-06-30;5.0;23.1375;10;;5;69
2012-07-01;4.0;19.5125;14;;4;31
2012-07-02;6.0;19.4375;10;;6;53
2012-07-03;3.0;20.5375;12;;3;28
2012-07-04;5.0;19.95;12;;5;45
2012-07-05;7.0;17.2625;12;10.0;7;10
2012-07-06;7.0;18.5375;10;60.0;7;60
2012-07-07;7.0;20.7875;4;;7;51
2012-07-08;5.0;22.975;10;95.0;5;95
2012-07-09;7.0;16.5;16;61.0;7;61
2012-07-10;6.0;18.825;14;1.0;6;1
2012-07-11;6.0;17.15;14;29.0;6;29
2012-07-12;5.0;15.4875;14;81.0;5;81
2012-07-13;6.0;17.0875;6;21.0;6;21
2012-07-14;6.0;17.9125;19;25.0;6;25
2012-07-15;5.0;16.375;16;25.0;5;25
2012-07-16;5.0;16.875;16;80.0;5;80
2012-07-17;5.0;17.1375;18;80.0;5;80
2012-07-18;7.0;16.95;6;63.0;7;63
2012-07-19;7.0;15.8125;16;81.0;7;81
2012-07-20;6.0;15.25;16;80.0;6;80
2012-07-21;6.0;16.1625;16;;6;50
2012-07-22;4.0;18.325;12;;4;37
2012-07-23;2.0;22.483333;12;;2;9
2012-07-25;1.0;25.65;8;;1;4
2012-07-26;1.0;22.5875;8;;1;5
2012-07-27;1.0;26.075;10;;1;0
2012-07-28;7.0;18.95;14;63.0;7;63
2012-07-29;7.0;16.0375;8;61.0;7;61
2012-07-30;6.0;15.1875;10;95.0;6;95
2012-07-31;5.0;17.1625;12;;5;52
2012-08-01;6.0;21.0625;6;;6;41
2012-08-02;6.0;22.725;10;29.0;6;29
2012-08-03;4.0;20.6875;10;91.0;4;91
2012-08-04;6.0;18.225;6;61.0;6;61
2012-08-05;6.0;21.6125;4;;6;53
2012-08-06;5.0;19.575;16;80.0;5;80
2012-08-07;6.0;17.3125;14;80.0;6;80
2012-08-08;4.0;17.9;16;80.0;4;80
2012-08-09;5.0;18.35;12;;5;45
2012-08-10;6.0;17.3;14;25.0;6;25
2012-08-11;2.0;18.85;10;;2;10
2012-08-12;1.0;19.7875;12;;1;2
2012-08-13;2.0;20.0375;14;;2;10
2012-08-14;2.0;20.1625;12;;2;10
2012-08-15;1.0;20.4;14;;1;3
2012-08-16;6.0;17.325;10;63.0;6;63
2012-08-17;5.0;21.9375;8;;5;43
2012-08-18;6.0;27.525;8;;6;59
2012-08-19;2.0;26.875;8;;2;3
2012-08-20;3.0;26.15;16;;3;27
2012-08-21;6.0;20.8125;6;;6;41
2012-08-22;4.0;20.0125;18;;4;37
2012-08-23;5.0;19.8375;18;80.0;5;80
2012-08-24;7.0;16.2625;4;61.0;7;61
2012-08-25;6.0;18.8625;8;80.0;6;80
2012-08-26;6.0;17.325;14;95.0;6;95
2012-08-27;2.0;17.8625;12;;2;6
2012-08-28;7.0;19.5875;8;61.0;7;61
2012-08-29;4.0;20.6625;8;3.0;4;3
2012-08-30;7.0;19.2375;6;;7;43
2012-08-31;3.0;17.2875;14;;3;36
2012-09-01;6.0;16.6;12;;6;55
2012-09-02;6.0;19.15;14;;6;29
2012-09-03;4.0;19.475;12;;4;44
2012-09-04;4.0;20.5375;14;;4;51
2012-09-05;6.0;17.1375;14;80.0;6;80
2012-09-06;7.0;16.1125;14;;7;61
2012-09-07;7.0;16.125;12;58.0;7;58
2012-09-08;5.0;18.4625;16;51.0;5;51
2012-09-09;4.0;21.075;6;;4;50
2012-09-10;4.0;23.125;12;;4;34
2012-09-11;7.0;17.0875;12;61.0;7;61
2012-09-12;4.0;13.9625;12;80.0;4;80
2012-09-13;3.0;15.1;8;;3;23
2012-09-14;8.0;13.7125;16;61.0;8;61
2012-09-15;6.0;15.625;18;80.0;6;80
2012-09-16;3.0;18.35;12;;3;17
2012-09-17;4.0;17.4375;14;25.0;4;25
2012-09-18;6.0;15.0375;14;80.0;6;80
2012-09-19;5.0;10.6375;16;81.0;5;81
2012-09-20;6.0;11.4875;12;80.0;6;80
2012-09-21;7.0;14.25;14;21.0;7;21
2012-09-22;5.0;11.5;14;25.0;5;25
2012-09-23;4.0;13.65;10;;4;48
2012-09-24;8.0;10.4125;16;61.0;8;61
2012-09-25;7.0;14.925;10;80.0;7;80
2012-09-26;7.0;12.5625;6;61.0;7;61
2012-09-27;7.0;13.2;10;61.0;7;61
2012-09-28;6.0;13.5625;12;;6;40
2012-09-29;5.0;13.2625;16;25.0;5;25
2012-09-30;4.0;13.875;14;25.0;4;25
2012-10-01;7.0;13.8625;10;;7;54
2012-10-02;6.0;15.1625;10;10.0;6;10
2012-10-03;7.0;14.175;12;65.0;7;65
2012-10-04;7.0;10.45;10;80.0;7;80
2012-10-05;7.0;9.7375;14;61.0;7;61
2012-10-08;4.0;12.4375;12;80.0;4;80
2012-10-09;1.0;10.9875;19;80.0;1;80
2012-10-10;5.0;10.1;12;80.0;5;80
2012-10-11;4.0;11.4375;6;;4;25
2012-10-12;6.0;10.1375;10;61.0;6;61
2012-10-15;6.0;9.5875;10;51.0;6;51
2012-10-16;7.0;10.8875;12;61.0;7;61
2012-10-17;7.0;12.1;12;21.0;7;21
2012-10-18;6.0;16.775;8;;6;42
2012-10-19;3.0;19.35;6;;3;10
2012-10-22;8.0;12.675;8;10.0;8;10
2012-10-23;8.0;11.8875;8;51.0;8;51
2012-10-24;8.0;10.9875;6;51.0;8;51
2012-10-25;6.0;8.7375;16;80.0;6;80
2012-10-26;5.0;5.1875;8;;5;38
2012-10-29;8.0;3.625;14;61.0;8;61
2012-10-30;4.0;7.0625;8;25.0;4;25
2012-10-31;6.0;7.95;10;10.0;6;10
2012-11-01;7.0;5.8125;10;;7;49
2012-11-02;7.0;7.475;12;21.0;7;21
2012-11-05;7.0;6.5875;10;61.0;7;61
2012-11-06;6.0;7.45;14;80.0;6;80
2012-11-07;7.0;10.3;16;51.0;7;51
2012-11-08;7.0;9.6625;16;80.0;7;80
2012-11-09;7.0;9.5;8;20.0;7;20
2012-11-12;6.0;7.3125;12;80.0;6;80
2012-11-13;7.0;7.2;8;10.0;7;10
2012-11-14;8.0;9.6625;6;10.0;8;10
2012-11-15;7.0;8.7125;6;5.0;7;5
2012-11-16;7.0;-0.275;6;10.0;7;10
2012-11-19;3.0;6.125;8;3.0;3;3
2012-11-20;6.0;7.675;8;10.0;6;10
2012-11-21;8.0;6.1875;12;10.0;8;10
2012-11-22;4.0;9.1;14;3.0;4;3
2012-11-23;7.0;6.7;10;61.0;7;61
2012-11-26;6.0;8.1625;10;;6;39
2012-11-27;7.0;7.625;8;20.0;7;20
2012-11-28;8.0;5.325;8;51.0;8;51
2012-11-29;7.0;3.4625;14;61.0;7;61
2012-11-30;2.0;0.725;10;;2;17
2012-12-03;8.0;1.033333;8;10.0;8;10
2012-12-04;7.0;1.375;8;69.0;7;69
2012-12-05;2.0;-4.7875;10;;2;21
2012-12-06;1.0;-4.45;8;;1;16
2012-12-07;4.0;-1.7875;8;10.0;4;10
2012-12-10;8.0;0.1875;18;71.0;8;71
2012-12-11;6.0;-1.8625;14;;6;47
2012-12-12;3.0;-5.7375;4;10.0;3;10
2012-12-13;7.0;-2.0625;4;78.0;7;78
2012-12-14;7.0;-2.6875;10;10.0;7;10
2012-12-17;8.0;4.1875;4;47.0;8;47
2012-12-18;8.0;3.6375;10;61.0;8;61
2012-12-19;7.0;2.8625;6;20.0;7;20
2012-12-20;7.0;2.0875;12;5.0;7;5
2012-12-21;7.0;-0.2125;10;13.0;7;13
2013-04-30;3.0;11.116666;15;0.0;3;0
2013-05-01;0.0;9.9;11;;0;3
2013-05-02;1.0;11.0375;12;;1;4
2013-05-03;0.0;12.9125;9;;0;5
2013-05-04;0.0;17.95;18;;0;3
2013-05-05;3.0;16.2125;10;;3;13
2013-05-06;0.0;15.675;8;;0;1
2013-05-07;1.0;17.4125;10;21.0;1;21
2013-05-08;4.0;18.8125;9;21.0;4;21
2013-05-09;7.0;16.125;11;21.0;7;21
2013-05-10;5.0;15.5;12;21.0;5;21
2013-05-11;7.0;15.4125;11;;7;54
2013-05-12;7.0;11.7125;12;61.0;7;61
2013-05-13;7.0;11.4375;10;65.0;7;65
2013-05-14;5.0;12.6;10;21.0;5;21
2013-05-15;4.0;20.5375;10;61.0;4;61
2013-05-16;0.0;16.1625;13;5.0;0;5
2013-05-17;0.0;21.3125;11;5.0;0;5
2013-05-18;7.0;13.85;12;10.0;7;10
2013-05-19;8.0;13.05;5;20.0;8;20
2013-05-20;7.0;15.775;8;21.0;7;21
2013-05-21;7.0;12.525;9;65.0;7;65
2013-05-22;7.0;9.0625;23;63.0;7;63
2013-05-23;5.0;10.525;8;61.0;5;61
2013-05-24;5.0;12.5;8;61.0;5;61
2013-05-25;7.0;11.3375;11;63.0;7;63
2013-05-26;7.0;14.1625;15;63.0;7;63
2013-05-27;6.0;14.7875;10;;6;39
2013-05-28;6.0;15.4;10;20.0;6;20
2013-05-29;7.0;13.6625;14;61.0;7;61
2013-05-30;4.0;16.125;11;21.0;4;21
2013-05-31;3.0;17.65;12;;3;19
2013-06-01;3.0;20.3875;10;21.0;3;21
2013-06-02;2.0;14.975;18;;2;6
2013-06-03;0.0;17.35;13;;0;3
2013-06-04;3.0;17.1625;15;;3;37
2013-06-05;4.0;19.0875;9;;4;37
2013-06-06;0.0;20.85;12;;0;3
2013-06-07;0.0;19.7;8;;0;4
2013-06-08;1.0;16.9625;9;;1;5
2013-06-09;4.0;15.8875;7;;4;19
2013-06-10;2.0;17.725;8;0.0;2;0
2013-06-11;2.0;16.6625;9;;2;6
2013-06-12;5.0;22.35;7;;5;52
2013-06-14;2.0;16.7125;16;0.0;2;0
2013-06-15;6.0;17.0875;27;61.0;6;61
2013-06-16;7.0;15.5875;16;21.0;7;21
2013-06-17;0.0;17.9;8;;0;2
2013-06-18;1.0;20.05;10;0.0;1;0
2013-06-19;6.0;23.5375;10;63.0;6;63
2013-06-20;2.0;21.8375;10;;2;6
2013-06-21;7.0;19.575;14;63.0;7;63
2013-06-22;6.0;19.7375;10;;6;67
2013-06-23;6.0;17.5375;10;21.0;6;21
2013-06-24;7.0;15.95;12;63.0;7;63
2013-06-25;7.0;15.175;10;21.0;7;21
2013-06-26;7.0;13.825;18;61.0;7;61
2013-06-27;7.0;12.55;10;61.0;7;61
2013-06-28;7.0;13.05;10;61.0;7;61
2013-06-29;6.0;14.8375;16;61.0;6;61
2013-06-30;7.0;14.0125;15;63.0;7;63
2013-07-01;6.0;17.8375;15;20.0;6;20
2013-07-02;3.0;17.3125;10;;3;18
2013-07-03;7.0;21.075;6;61.0;7;61
2013-07-04;7.0;18.85;7;20.0;7;20
2013-07-05;5.0;19.975;12;;5;37
2013-07-06;0.0;18.9625;8;;0;3
2013-07-07;0.0;21.375;9;;0;3
2013-07-08;0.0;22.725;10;5.0;0;5
2013-07-09;0.0;23.275;8;;0;2
2013-07-10;2.0;19.6875;13;5.0;2;5
2013-07-11;0.0;21.375;12;5.0;0;5
2013-07-12;0.0;20.2875;7;;0;2
2013-07-13;1.0;20.125;12;;1;2
2013-07-14;5.0;17.6875;15;5.0;5;5
2013-07-15;6.0;18.7375;12;;6;37
2013-07-16;1.0;21.1875;10;;1;2
2013-07-17;5.0;22.5125;8;;5;62
2013-07-18;1.0;23.25;11;5.0;1;5
2013-07-19;3.0;22.475;16;5.0;3;5
2013-07-20;0.0;23.1875;8;;0;1
2013-07-21;0.0;26.375;8;;0;1
2013-07-22;0.0;26.1;9;;0;1
2013-07-23;0.0;24.95;12;;0;3
2013-07-24;3.0;24.075;11;;3;21
2013-07-25;2.0;23.0875;9;;2;14
2013-07-26;3.0;27.2625;6;;3;46
2013-07-27;1.0;26.1625;10;;1;0
2013-07-28;4.0;24.8875;13;61.0;4;61
2013-07-29;1.0;22.7875;10;;1;7
2013-07-30;5.0;21.075;13;21.0;5;21
2013-07-31;5.0;20.275;16;65.0;5;65
2013-08-01;6.0;23.4;7;21.0;6;21
2013-08-02;0.0;31.4375;7;;0;14
2013-08-03;4.0;23.3625;11;63.0;4;63
2013-08-04;3.0;23.05;8;;3;22
2013-08-05;0.0;25.8;10;;0;1
2013-08-06;5.0;22.225;13;;5;21
2013-08-07;4.0;19.2125;8;;4;17
2013-08-08;7.0;16.975;12;20.0;7;20
2013-08-09;4.0;20.3375;10;21.0;4;21
2013-08-10;7.0;19.3625;12;61.0;7;61
2013-08-11;7.0;16.3875;9;61.0;7;61
2013-08-12;7.0;16.45;11;63.0;7;63
2013-08-13;3.0;16.4;16;95.0;3;95
2013-08-14;4.0;18.2625;18;61.0;4;61
2013-08-15;3.0;19.8;8;;3;15
2013-08-16;4.0;23.575;11;0.0;4;0
2013-08-17;6.0;20.55;7;0.0;6;0
2013-08-18;7.0;18.5875;10;63.0;7;63
2013-08-19;5.0;18.4875;8;;5;51
2013-08-20;7.0;17.775;8;61.0;7;61
2013-08-21;5.0;20.125;8;;5;33
2013-08-22;4.0;21.6625;8;;4;30
2013-08-23;1.0;22.0375;14;;1;15
2013-08-24;0.0;20.85;16;5.0;0;5
2013-08-25;0.0;21.3875;16;5.0;0;5
2013-08-26;0.0;20.125;15;5.0;0;5
2013-08-27;1.0;21.0875;12;;1;4
2013-08-28;0.0;21.3;7;;0;2
2013-08-29;3.0;20.2125;11;;3;28
2013-08-30;6.0;19.7875;8;5.0;6;5
2013-08-31;5.0;18.35;16;21.0;5;21
2013-09-01;7.0;15.8625;16;61.0;7;61
2013-09-02;7.0;16.575;17;63.0;7;63
2013-09-03;7.0;18.225;11;21.0;7;21
2013-09-04;7.0;18.125;5;;7;52
2013-09-05;0.0;21.7;8;;0;2
2013-09-06;0.0;24.7;9;;0;1
2013-09-07;6.0;22.7625;7;;6;44
2013-09-08;7.0;20.1625;8;61.0;7;61
2013-09-09;8.0;11.575;11;63.0;8;63
2013-09-10;6.0;13.5875;11;65.0;6;65
2013-09-11;6.0;13.9;8;61.0;6;61
2013-09-12;6.0;16.1125;6;61.0;6;61
2013-09-13;6.0;17.4375;5;21.0;6;21
2013-09-14;5.0;17.625;10;63.0;5;63
2013-09-15;7.0;14.8625;10;21.0;7;21
2013-09-16;3.0;13.1375;13;21.0;3;21
2013-09-17;5.0;13.1375;10;63.0;5;63
2013-09-18;4.0;13.05;9;;4;44
2013-09-19;5.0;14.8375;11;63.0;5;63
2013-09-20;7.0;13.525;6;;7;38
2013-09-21;7.0;15.35;9;;7;39
2013-09-22;6.0;17.1375;14;21.0;6;21
2013-09-23;7.0;17.3125;14;21.0;7;21
2013-09-24;8.0;15.7375;10;;8;54
2013-09-25;6.0;13.5375;7;61.0;6;61
2013-09-26;1.0;12.9875;12;;1;4
2013-09-27;5.0;13.0125;8;21.0;5;21
2013-09-28;0.0;13.1;8;;0;8
2013-09-29;3.0;14.175;12;;3;24
2013-09-30;1.0;12.825;14;;1;7
2013-10-01;0.0;12.9125;13;5.0;0;5
2013-10-02;1.0;12.7;10;;1;5
2013-10-03;0.0;11.7625;12;5.0;0;5
2013-10-04;5.0;11.2;8;63.0;5;63
2013-10-05;7.0;15.575;8;20.0;7;20
2013-10-06;7.0;15.25;6;;7;53
2013-10-07;1.0;16.275;7;;1;2
2013-10-08;6.0;15.1125;8;61.0;6;61
2013-10-09;7.0;14.3125;10;21.0;7;21
2013-10-10;5.0;10.975;6;;5;31
2013-10-11;7.0;13.8625;20;10.0;7;10
2013-10-12;8.0;13.025;21;63.0;8;63
2013-10-13;5.0;10.8625;5;;5;21
2013-10-14;2.0;12.525;6;;2;4
2013-10-15;7.0;10.6625;4;63.0;7;63
2013-10-16;8.0;12.275;7;;8;59
2013-10-17;7.0;12.0;15;65.0;7;65
2013-10-18;1.0;9.075;9;;1;8
2013-10-19;7.0;9.45;9;;7;46
2013-10-20;7.0;15.1875;8;21.0;7;21
2013-10-21;7.0;14.2625;8;61.0;7;61
2013-10-22;2.0;17.6375;7;;2;2
2013-10-23;6.0;17.675;9;;6;42
2013-10-24;5.0;12.6875;12;61.0;5;61
2013-10-25;7.0;11.8875;7;61.0;7;61
2013-10-26;5.0;16.775;10;21.0;5;21
2013-10-27;6.0;14.9875;16;65.0;6;65
2013-10-28;7.0;14.3625;29;63.0;7;63
